,Item Name,Class,Type,Rarity,Required Level,Stats,Description
69,Plain Amulet Neck,Accessory,Neck,Normal,36,,"A normal neck crafted from amulet, valued highly by accessory adventurers."
5,Mystic Band Neck,Accessory,Neck,Magic,40,+4 AGI,"A magic neck crafted from band, valued highly by accessory adventurers."
23,Enchanted Amulet Ring,Accessory,Ring,Magic,43,+4 Crit,"A magic ring crafted from amulet, valued highly by accessory adventurers."
80,Gleaming Sigil Ring,Accessory,Ring,Magic,56,+5 STAM,"A magic ring crafted from sigil, valued highly by accessory adventurers."
27,Worn Amulet Ring,Accessory,Ring,Normal,61,,"A normal ring crafted from amulet, valued highly by accessory adventurers."
73,Mystic Charm Ring,Accessory,Ring,Magic,61,+6 Dodge,"A magic ring crafted from charm, valued highly by accessory adventurers."
84,Mystic Sigil Trinket,Accessory,Trinket,Magic,18,+1 Parry,"A magic trinket crafted from sigil, valued highly by accessory adventurers."
55,Plain Charm Trinket,Accessory,Trinket,Normal,30,,"A normal trinket crafted from charm, valued highly by accessory adventurers."
47,Mystic Velvet Cape,Cloth,Cape,Magic,27,"29 Armor, +2 INT","A magic cape crafted from velvet, valued highly by cloth adventurers."
48,Worn Velvet Chest,Cloth,Chest,Normal,58,83 Armor,"A normal chest crafted from velvet, valued highly by cloth adventurers."
91,Simple Spellweave Chest,Cloth,Chest,Normal,83,88 Armor,"A normal chest crafted from spellweave, valued highly by cloth adventurers."
89,Common Spellweave Feet,Cloth,Feet,Normal,71,73 Armor,"A normal feet crafted from spellweave, valued highly by cloth adventurers."
52,Worn Spellweave Feet,Cloth,Feet,Normal,84,104 Armor,"A normal feet crafted from spellweave, valued highly by cloth adventurers."
35,Enchanted Silk Gloves,Cloth,Gloves,Magic,5,"7 Armor, +1 Parry","A magic gloves crafted from silk, valued highly by cloth adventurers."
74,Stormforged Linen Gloves,Cloth,Gloves,Rare,33,"39 Armor, +3 STAM, +3 Block","A rare gloves crafted from linen, valued highly by cloth adventurers."
9,Valor's Spellweave Gloves,Cloth,Gloves,Rare,53,"64 Armor, +5 INT, +5 Crit","A rare gloves crafted from spellweave, valued highly by cloth adventurers."
79,Luminous Spellweave Gloves,Cloth,Gloves,Magic,66,"93 Armor, +6 AGI","A magic gloves crafted from spellweave, valued highly by cloth adventurers."
67,Dreadlord's Linen Gloves,Cloth,Gloves,Epic,77,"90 Armor, +7 INT, +7 Block, +7 Parry","A epic gloves crafted from linen, valued highly by cloth adventurers."
51,Common Spellweave Head,Cloth,Head,Normal,12,16 Armor,"A normal head crafted from spellweave, valued highly by cloth adventurers."
33,Enchanted Velvet Head,Cloth,Head,Magic,64,"79 Armor, +6 Block","A magic head crafted from velvet, valued highly by cloth adventurers."
90,Stormforged Spellweave Legs,Cloth,Legs,Rare,33,"43 Armor, +3 STR, +3 INT","A rare legs crafted from spellweave, valued highly by cloth adventurers."
8,Gleaming Velvet Legs,Cloth,Legs,Magic,37,"44 Armor, +3 Crit","A magic legs crafted from velvet, valued highly by cloth adventurers."
53,Valor's Silk Legs,Cloth,Legs,Rare,61,"91 Armor, +6 Parry, +6 STR","A rare legs crafted from silk, valued highly by cloth adventurers."
66,Gleaming Velvet Waist,Cloth,Waist,Magic,11,"15 Armor, +1 Crit","A magic waist crafted from velvet, valued highly by cloth adventurers."
57,Enchanted Velvet Wrist,Cloth,Wrist,Magic,86,"124 Armor, +8 AGI","A magic wrist crafted from velvet, valued highly by cloth adventurers."
19,Common Hide Chest,Leather,Chest,Normal,28,39 Armor,"A normal chest crafted from hide, valued highly by leather adventurers."
43,Twilight Stormhide Chest,Leather,Chest,Rare,28,"29 Armor, +2 Dodge, +2 Crit","A rare chest crafted from stormhide, valued highly by leather adventurers."
